month,hour,day_type,weather_condition,temperature,location_zone,ride_demand,lag_1,lag_24
7,20,Weekday,Cloudy,29.99018514592669,Residential,41,,
4,4,Weekday,Rainy,22.92573913272507,Industrial,26,41.0,
11,22,Weekday,Clear,27.766167357023875,Central,23,26.0,
8,19,Weekday,Clear,28.652687446715394,Stadium,37,23.0,
5,19,Weekday,Clear,36.29608088372528,IT Park,37,37.0,
7,5,Weekday,Clear,37.71262403714985,Hospital,16,37.0,
10,3,Weekday,Clear,27.121641372722515,Suburb,8,16.0,
3,1,Weekday,Clear,18.38949779161122,Hospital,19,8.0,
7,21,Weekend,Clear,36.9590244753658,Hospital,11,19.0,
11,15,Weekday,Rainy,21.834130927029936,Industrial,24,11.0,
11,17,Weekday,Clear,31.68140320558866,Suburb,26,24.0,
8,4,Weekday,Clear,18.549359809550886,Stadium,9,26.0,
5,21,Weekday,Clear,26.789142455732414,Mall,17,9.0,
4,3,Weekend,Clear,39.6911266465377,Residential,17,17.0,
8,12,Weekday,Clear,20.215259224283667,Industrial,18,17.0,
8,18,Weekday,Rainy,27.32124934399213,Stadium,42,18.0,
3,22,Weekday,Clear,24.757298904178946,IT Park,13,42.0,
6,1,Weekday,Clear,37.91193871454182,IT Park,21,13.0,
5,12,Weekday,Clear,37.125482373961816,Residential,15,21.0,
2,10,Weekday,Clear,23.229372726737033,Stadium,29,15.0,
8,21,Weekday,Clear,19.786131315109486,Industrial,19,29.0,
12,3,Weekend,Cloudy,31.797044669344587,Suburb,10,19.0,
6,21,Weekday,Clear,25.400111661441613,IT Park,14,10.0,
2,19,Weekday,Clear,32.785856593333385,Stadium,37,14.0,
12,19,Weekday,Cloudy,18.70663463349192,Suburb,36,37.0,41.0
5,14,Weekday,Clear,20.93478317390477,Stadium,15,36.0,26.0
1,3,Weekend,Clear,33.10018912099815,Mall,20,15.0,23.0
12,8,Weekday,Rainy,22.67215441665495,University,38,20.0,37.0
10,6,Weekday,Clear,36.86692886677284,Residential,16,38.0,37.0
6,18,Weekday,Cloudy,19.28899952962298,Airport,48,16.0,16.0
12,18,Weekend,Clear,22.74060362128264,IT Park,40,48.0,8.0
9,5,Weekday,Clear,39.96832546667151,Stadium,9,40.0,19.0
1,5,Weekday,Clear,27.52767425690944,Industrial,18,9.0,11.0
11,19,Weekday,Clear,33.46524459798216,Stadium,45,18.0,24.0
11,14,Weekday,Clear,22.018587074854302,Industrial,17,45.0,26.0
10,14,Weekday,Clear,31.41711216968183,Central,21,17.0,9.0
12,19,Weekday,Rainy,33.97433350412721,Mall,54,21.0,17.0
12,8,Weekend,Cloudy,24.91848598906323,Hospital,45,54.0,17.0
3,3,Weekend,Clear,36.23573646346931,Stadium,16,45.0,18.0
12,17,Weekday,Cloudy,31.27518672639023,Suburb,28,16.0,42.0
7,17,Weekend,Rainy,26.560706211530665,Airport,53,28.0,13.0
4,4,Weekend,Cloudy,30.268132653549486,Hospital,19,53.0,21.0
9,19,Weekend,Clear,30.688738643590334,Mall,49,19.0,15.0
3,22,Weekday,Rainy,21.64177643926505,Central,30,49.0,29.0
5,10,Weekday,Clear,26.860112137073255,Suburb,36,30.0,19.0
3,4,Weekday,Clear,25.55547293642885,Mall,17,36.0,10.0
7,21,Weekday,Clear,26.819859896740773,University,18,17.0,14.0
5,3,Weekday,Rainy,34.74443294667567,Central,33,18.0,37.0
9,11,Weekend,Rainy,28.6158449642668,IT Park,30,33.0,36.0
7,1,Weekday,Rainy,38.686955371263814,University,17,30.0,15.0
2,12,Weekday,Clear,24.460881093885597,University,12,17.0,20.0
4,9,Weekday,Rainy,27.145478722268436,Hospital,40,12.0,38.0
9,8,Weekday,Clear,35.313049830538915,Residential,38,40.0,16.0
12,9,Weekday,Clear,30.012541053056506,IT Park,32,38.0,48.0
2,6,Weekday,Clear,30.03461922133785,Central,19,32.0,40.0
10,3,Weekday,Clear,19.17348358611404,Hospital,16,19.0,9.0
9,18,Weekend,Cloudy,26.769192579806028,IT Park,45,16.0,18.0
10,9,Weekday,Clear,23.956142113278116,Mall,40,45.0,45.0
5,2,Weekday,Rainy,39.985372702284536,Airport,34,40.0,17.0
2,20,Weekday,Clear,24.783811553910827,Central,36,34.0,21.0
4,18,Weekday,Clear,37.458923765464995,Hospital,48,36.0,54.0
12,20,Weekday,Rainy,32.87714217089051,Airport,57,48.0,45.0
12,1,Weekend,Clear,25.50016100222599,Central,21,57.0,16.0
7,19,Weekend,Cloudy,29.957756324230722,University,35,21.0,28.0
12,9,Weekday,Cloudy,36.49178935888226,Airport,35,35.0,53.0
8,1,Weekday,Clear,37.43410255668006,Airport,21,35.0,19.0
3,1,Weekday,Cloudy,21.528665250135194,Suburb,8,21.0,49.0
1,23,Weekday,Clear,25.47060910657973,Central,23,8.0,30.0
4,16,Weekday,Rainy,25.374909964698578,IT Park,22,23.0,36.0
2,15,Weekday,Clear,18.924985513670784,Residential,16,22.0,17.0
8,15,Weekday,Clear,31.161230716741724,Mall,21,16.0,18.0
4,13,Weekday,Clear,36.806041165828134,Industrial,15,21.0,33.0
2,6,Weekend,Clear,26.394636532161392,Hospital,13,15.0,30.0
6,20,Weekday,Cloudy,34.280790789651896,Airport,45,13.0,17.0
6,10,Weekend,Rainy,31.80940909921628,Stadium,41,45.0,12.0
10,23,Weekday,Cloudy,26.264272180846017,Airport,20,41.0,40.0
4,0,Weekday,Clear,21.103315588830537,University,19,20.0,38.0
6,10,Weekend,Rainy,33.60512476107128,Central,59,19.0,32.0
